,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,
2013-10-22,34.099998474121094,35.555999755859375,33.22200012207031,34.30799865722656,34.30799865722656,56933500,18.800357818603516,18.873214721679688,18.14392852783203,18.56678581237793,16.41620635986328,534063600
2013-10-23,33.78200149536133,34.36199951171875,32.029998779296875,32.900001525878906,32.900001525878906,66602000,18.53571319580078,18.773929595947266,18.53571319580078,18.748571395874023,16.576934814453125,313723200
2013-10-24,33.0,34.900001525878906,32.566001892089844,34.630001068115234,34.630001068115234,54128500,18.75,19.016786575317383,18.6589298248291,18.99678611755371,16.79640007019043,384764800
2013-10-25,34.84199905395508,34.900001525878906,33.36000061035156,33.93199920654297,33.93199920654297,37977500,18.9757137298584,19.043928146362305,18.753929138183594,18.784286499023438,16.608510971069336,337792000
2013-10-28,34.0359992980957,34.099998474121094,32.439998626708984,32.571998596191406,32.571998596191406,39208500,18.894285202026367,18.96428680419922,18.686071395874023,18.924285888671875,16.7322998046875,550440800
2013-10-29,32.551998138427734,33.09000015258789,30.600000381469727,32.89400100708008,32.89400100708008,70558500,19.15250015258789,19.258928298950195,18.376428604125977,18.452856063842773,16.315473556518555,635807200
2013-10-30,32.92599868774414,33.5359992980957,31.634000778198242,31.8439998626709,31.8439998626709,42009000,18.5575008392334,18.84000015258789,18.46500015258789,18.746429443359375,16.575044631958008,354163600
2013-10-31,31.134000778198242,32.487998962402344,30.65999984741211,31.988000869750977,31.988000869750977,46669000,18.75,18.83892822265625,18.616785049438477,18.667856216430664,16.505573272705078,275696400
2013-11-01,32.599998474121094,33.18000030517578,32.082000732421875,32.433998107910156,32.433998107910156,35903000,18.71500015258789,18.742856979370117,18.4228572845459,18.572500228881836,16.421260833740234,274890000
2013-11-04,33.0,35.077999114990234,32.84400177001953,35.040000915527344,35.040000915527344,65602000,18.610713958740234,18.815000534057617,18.528928756713867,18.8125,16.633460998535156,244627600
2013-11-05,36.0,36.2859992980957,34.27199935913086,35.36199951171875,35.36199951171875,112335500,18.735000610351562,18.88892936706543,18.678571701049805,18.766071319580078,16.592411041259766,265213200
2013-11-06,30.961999893188477,32.145999908447266,29.270000457763672,30.23200035095215,30.23200035095215,155358500,18.719642639160156,18.7450008392334,18.507143020629883,18.604286193847656,16.5454044342041,223375600
2013-11-07,28.83799934387207,29.1299991607666,27.52400016784668,27.95400047302246,27.95400047302246,111423500,18.556428909301758,18.68535614013672,18.299285888671875,18.303213119506836,16.27764892578125,262620400
2013-11-08,27.29599952697754,28.1200008392334,26.464000701904297,27.59000015258789,27.59000015258789,112389500,18.377857208251953,18.611785888671875,18.306785583496094,18.591428756713867,16.533971786499023,279316800
2013-11-11,28.200000762939453,29.083999633789062,27.420000076293945,28.940000534057617,28.940000534057617,69988000,18.57107162475586,18.631071090698242,18.37178611755371,18.537500381469727,16.486011505126953,227452400
2013-11-12,28.937999725341797,28.940000534057617,27.236000061035156,27.559999465942383,27.559999465942383,74926000,18.48821449279785,18.711429595947266,18.46428680419922,18.571786880493164,16.516498565673828,204276800
2013-11-13,28.167999267578125,28.474000930786133,27.26799964904785,27.739999771118164,27.739999771118164,63291500,18.5,18.65178680419922,18.46285629272461,18.593929290771484,16.536190032958984,197220800
