,LINK-USD,LINK-USD,LINK-USD,LINK-USD,LINK-USD,LINK-USD,ADA-USD,ADA-USD,ADA-USD,ADA-USD,ADA-USD,ADA-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,LTC-USD,LTC-USD,LTC-USD,LTC-USD,LTC-USD,LTC-USD
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-26,,,,,,,,,,,,,376.0190124511719,377.697998046875,365.8160095214844,368.3699951171875,368.3699951171875,18601700,,,,,,,3.5689098834991455,3.5871500968933105,3.5357799530029297,3.560460090637207,3.560460090637207,2497390
2014-11-27,,,,,,,,,,,,,370.50201416015625,373.99200439453125,368.2820129394531,369.6700134277344,369.6700134277344,8748030,,,,,,,3.5650699138641357,3.5802500247955322,3.5527799129486084,3.559880018234253,3.559880018234253,1764690
2014-11-28,,,,,,,,,,,,,369.3739929199219,382.8380126953125,358.4549865722656,376.4469909667969,376.4469909667969,22946500,,,,,,,3.5607900619506836,3.6427700519561768,3.5009100437164307,3.6038599014282227,3.6038599014282227,2007140
2014-11-29,,,,,,,,,,,,,376.1520080566406,387.60101318359375,372.1449890136719,375.4909973144531,375.4909973144531,15375600,,,,,,,3.604710102081299,3.636120080947876,3.570319890975952,3.586280107498169,3.586280107498169,2264640
2014-11-30,,,,,,,,,,,,,375.510009765625,382.5270080566406,373.3089904785156,378.0469970703125,378.0469970703125,9194440,,,,,,,3.5859599113464355,3.6141200065612793,3.562469959259033,3.576090097427368,3.576090097427368,1206290
2014-12-01,,,,,,,,,,,,,378.2489929199219,383.6619873046875,376.66900634765625,379.2449951171875,379.2449951171875,11763000,,,,,,,3.575589895248413,3.606920003890991,3.5666399002075195,3.5771400928497314,3.5771400928497314,1275120
2014-12-02,,,,,,,,,,,,,379.25,384.0379943847656,377.8630065917969,381.31500244140625,381.31500244140625,12364100,,,,,,,3.5779900550842285,3.661590099334717,3.5777900218963623,3.6310999393463135,3.6310999393463135,2051950
2014-12-03,,,,,,,,,,,,,381.72198486328125,383.0260009765625,374.34600830078125,375.010009765625,375.010009765625,13340100,,,,,,,3.628000020980835,3.6528499126434326,3.5820701122283936,3.6120200157165527,3.6120200157165527,1715450
2014-12-04,,,,,,,,,,,,,375.7179870605469,378.6549987792969,367.7590026855469,369.60400390625,369.60400390625,14529600,,,,,,,3.6117000579833984,3.6368000507354736,3.5862200260162354,3.592629909515381,3.592629909515381,2291670
2014-12-05,,,,,,,,,,,,,369.4419860839844,379.1919860839844,365.7560119628906,376.85400390625,376.85400390625,15181800,,,,,,,3.594089984893799,3.6225099563598633,3.5757699012756348,3.618230104446411,3.618230104446411,2350920
2014-12-06,,,,,,,,,,,,,376.7569885253906,378.447998046875,370.94500732421875,374.7850036621094,374.7850036621094,7009320,,,,,,,3.615959882736206,3.628230094909668,3.6036698818206787,3.6145200729370117,3.6145200729370117,1690520
2014-12-07,,,,,,,,,,,,,374.83599853515625,376.2919921875,373.2749938964844,375.0950012207031,375.0950012207031,6491650,,,,,,,3.615600109100342,3.749530076980591,3.6085100173950195,3.7111599445343018,3.7111599445343018,1759240
2014-12-08,,,,,,,,,,,,,374.9649963378906,376.02899169921875,361.885986328125,361.90899658203125,361.90899658203125,18898700,,,,,,,3.7083699703216553,3.7652199268341064,3.6531999111175537,3.6531999111175537,3.6531999111175537,2295450
2014-12-09,,,,,,,,,,,,,361.8949890136719,363.0669860839844,344.95098876953125,352.218994140625,352.218994140625,32915500,,,,,,,3.655019998550415,3.6689200401306152,3.4825499057769775,3.521169900894165,3.521169900894165,3606940
2014-12-10,,,,,,,,,,,,,352.2049865722656,352.3840026855469,346.364990234375,346.364990234375,346.364990234375,16427700,,,,,,,3.5238399505615234,3.540679931640625,3.48157000541687,3.4998600482940674,3.4998600482940674,1982380
2014-12-11,,,,,,,,,,,,,344.3399963378906,361.35699462890625,338.76300048828125,350.5060119628906,350.5060119628906,32431300,,,,,,,3.4939301013946533,3.559809923171997,3.4396300315856934,3.4810800552368164,3.4810800552368164,2667680
2014-12-12,,,,,,,,,,,,,350.8330078125,352.9830017089844,349.2909851074219,352.5419921875,352.5419921875,16989800,,,,,,,3.4788999557495117,3.492419958114624,3.4788999557495117,3.4867100715637207,3.4867100715637207,2060970
2014-12-13,,,,,,,,,,,,,352.3810119628906,352.3810119628906,346.5880126953125,347.3760070800781,347.3760070800781,11675900,,,,,,,3.486569881439209,3.489759922027588,3.459559917449951,3.476069927215576,3.476069927215576,2121910
2014-12-14,,,,,,,,,,,,,346.72698974609375,353.3160095214844,345.4179992675781,351.6319885253906,351.6319885253906,12415200,,,,,,,3.4751999378204346,3.4987399578094482,3.4676599502563477,3.4804799556732178,3.4804799556732178,1547550
2014-12-15,,,,,,,,,,,,,351.3609924316406,351.81500244140625,344.9339904785156,345.3450012207031,345.3450012207031,17264200,,,,,,,3.481110095977783,3.481600046157837,3.448859930038452,3.450779914855957,3.450779914855957,2292030
2014-12-16,,,,,,,,,,,,,345.6730041503906,345.8590087890625,327.06201171875,327.06201171875,327.06201171875,30864900,,,,,,,3.4518399238586426,3.4605700969696045,2.989269971847534,3.0152599811553955,3.0152599811553955,5220210
2014-12-17,,,,,,,,,,,,,326.8550109863281,333.9540100097656,315.1520080566406,319.7760009765625,319.7760009765625,37567900,,,,,,,3.0105600357055664,3.0688300132751465,2.8999900817871094,2.940229892730713,2.940229892730713,3969240
2014-12-18,,,,,,,,,,,,,319.7850036621094,323.7090148925781,304.23199462890625,311.39599609375,311.39599609375,39173000,,,,,,,2.944430112838745,2.995959997177124,2.701970100402832,2.805569887161255,2.805569887161255,4301260
2014-12-19,,,,,,,,,,,,,311.1789855957031,318.5329895019531,306.7690124511719,317.8429870605469,317.8429870605469,23823100,,,,,,,2.8052799701690674,2.873840093612671,2.7272400856018066,2.869110107421875,2.869110107421875,2780240
2014-12-20,,,,,,,,,,,,,317.6189880371094,330.32501220703125,316.04400634765625,329.95599365234375,329.95599365234375,20856700,,,,,,,2.8671000003814697,2.943690061569214,2.8671000003814697,2.9235799312591553,2.9235799312591553,2591650
2014-12-21,,,,,,,,,,,,,329.5429992675781,329.6289978027344,318.90301513671875,320.8429870605469,320.8429870605469,15207600,,,,,,,2.9146299362182617,2.920370101928711,2.8415799140930176,2.8503899574279785,2.8503899574279785,2187630
2014-12-22,,,,,,,,,,,,,321.0679931640625,334.11700439453125,320.42498779296875,331.885986328125,331.885986328125,22315100,,,,,,,2.8602499961853027,2.906680107116699,2.835789918899536,2.8857901096343994,2.8857901096343994,2477440
2014-12-23,,,,,,,,,,,,,332.0169982910156,336.2869873046875,329.60198974609375,334.5719909667969,334.5719909667969,16574200,,,,,,,2.887320041656494,2.9052700996398926,2.8621199131011963,2.881959915161133,2.881959915161133,1901360
2014-12-24,,,,,,,,,,,,,334.385009765625,334.7409973144531,321.35699462890625,322.53399658203125,322.53399658203125,15092300,,,,,,,2.877700090408325,2.8808300495147705,2.729559898376465,2.738339900970459,2.738339900970459,2076240
2014-12-25,,,,,,,,,,,,,322.2860107421875,322.6700134277344,316.9580078125,319.00799560546875,319.00799560546875,9883640,,,,,,,2.735949993133545,2.752739906311035,2.670909881591797,2.6994500160217285,2.6994500160217285,1640910
2014-12-26,,,,,,,,,,,,,319.1520080566406,331.42401123046875,316.62701416015625,327.92401123046875,327.92401123046875,16410500,,,,,,,2.700700044631958,2.8101799488067627,2.6816699504852295,2.7816898822784424,2.7816898822784424,2088360
2014-12-27,,,,,,,,,,,,,327.5830078125,328.9110107421875,312.6300048828125,315.8630065917969,315.8630065917969,15185200,,,,,,,2.7795801162719727,2.795370101928711,2.7029600143432617,2.716949939727783,2.716949939727783,2180800
2014-12-28,,,,,,,,,,,,,316.1600036621094,320.02801513671875,311.0780029296875,317.239013671875,317.239013671875,11676600,,,,,,,2.7190001010894775,2.7618300914764404,2.6728100776672363,2.7330400943756104,2.7330400943756104,1701950
2014-12-29,,,,,,,,,,,,,317.70098876953125,320.2669982910156,312.3070068359375,312.6700134277344,312.6700134277344,12302500,,,,,,,2.733799934387207,2.747220039367676,2.6870899200439453,2.694819927215576,2.694819927215576,1471530
2014-12-30,,,,,,,,,,,,,312.718994140625,314.8089904785156,309.37298583984375,310.73699951171875,310.73699951171875,12528300,,,,,,,2.6961700916290283,2.723989963531494,2.6674299240112305,2.704010009765625,2.704010009765625,1536350
2014-12-31,,,,,,,,,,,,,310.91400146484375,320.1929931640625,310.21099853515625,320.1929931640625,320.1929931640625,13942900,,,,,,,2.7038400173187256,2.729830026626587,2.6923000812530518,2.7189300060272217,2.7189300060272217,1577550
2015-01-01,,,,,,,,,,,,,320.43499755859375,320.43499755859375,314.00299072265625,314.2489929199219,314.2489929199219,8036550,,,,,,,2.724210023880005,2.724210023880005,2.689769983291626,2.699049949645996,2.699049949645996,770693
2015-01-02,,,,,,,,,,,,,314.0790100097656,315.8389892578125,313.56500244140625,315.0320129394531,315.0320129394531,7860650,,,,,,,2.697429895401001,2.69923996925354,2.6638500690460205,2.6673600673675537,2.6673600673675537,855392
2015-01-03,,,,,,,,,,,,,314.84600830078125,315.1499938964844,281.0820007324219,281.0820007324219,281.0820007324219,33054400,,,,,,,2.6664600372314453,2.6664600372314453,2.13316011428833,2.13316011428833,2.13316011428833,5193080
2015-01-04,,,,,,,,,,,,,281.14599609375,287.2300109863281,257.61199951171875,264.19500732421875,264.19500732421875,55629100,,,,,,,2.110219955444336,2.1544599533081055,1.912410020828247,1.9566800594329834,1.9566800594329834,3888140
